Transaction_ID,Date,Store,Branch_ID,Sales_Channel,Product_ID,Product_Category,Product_Name,Brand,Unit_Cost,Unit_Price,Units_Sold,Revenue,Cost_of_Sales,Profit,Discount_Applied,Payment_Method,Transaction_Time,Customer_ID,Customer_Name,Gender,Age,Marital_Status,Occupation,Income_Level,Customer_Segment,Loyalty_Score,Stock_Available,Reorder_Level,Supplier,Restock_Frequency,Promotion_Type,Campaign_Name,Campaign_Spend,Customer_Response,Ad_Channel,Month,Year,Quarter,Weekday,Holiday_Period,Repeat_Purchase,Satisfaction_Score,Computed_Revenue,Region
T1001,2023-04-13,Ibadan,IB003,In-store,P4657,Electronics,Refrigerator,LG,1000842.4302930059,1333717.8979125642,22,29341793.754076414,22018533.46644613,7323260.287630282,1,POS,15:37:17,C1779,Blessing Okafor,F,20.0,Single,Engineer,Low,VIP,72.0,23,78,MegaMart Supply,30,None,NaijaDeals,491369,Yes,Billboard,April,2023,Q2,Thursday,False,True,3.2,13155.66,South-West
T1002,2024-03-11,Lagos,LA008,Online,P1711,Fashion,Shirt,Puma,82514.53005417409,118176.08757060618,12,1418113.0508472743,990174.3606500891,427938.69019718515,0,POS,21:06:24,C8885,Emeka Eze,M,53.0,Married,Student,High,VIP,85.0,162,59,FashionBase Ltd,7,Loyalty Offer,NaijaDeals,419684,No,Social Media,March,2024,Q1,Monday,True,True,3.3,1160.4,South-West
T1003,2023-09-28,Enugu,EN001,In-store,P6313,Fashion,Suit,Puma,64725.293295014264,86110.05318827368,14,1205540.7446358316,906154.1061301997,299386.6385056318,1,Transfer,10:15:47,C3852,Victor Adeniyi,F,35.0,Single,Trader,High,Occasional,60.0,295,46,GameHub Africa,14,None,NaijaDeals,429974,Yes,Radio,September,2023,Q3,Thursday,False,True,4.5,4040.7,South-East
T1004,2023-04-17,Benin,BE007,Online,P2040,Electronics,Smartphone,Apple,277607.38242957566,355539.96419466916,4,1422159.8567786766,1110429.5297183027,311730.32706037397,1,Online,10:29:00,C6352,Grace Aliyu,F,53.0,Single,Engineer,High,Occasional,88.0,154,62,MegaMart Supply,30,Discount,WeekendRush,512942,Yes,Billboard,April,2023,Q2,Monday,False,True,4.1,1413.12,South-South
T1006,2024-12-01,Kano,KA006,In-store,P2049,Sports,Football,Adidas,26944.803609096118,33172.95267674158,14,464421.33747438213,377227.25052734563,87194.0869470365,1,Transfer,18:31:13,C444,Grace James,M,18.0,Single,Teacher,Low,VIP,70.26907073509015,296,38,GameHub Africa,30,None,SummerBlast,695948,No,Billboard,December,2024,Q4,Sunday,True,True,4.3,1007.08,North-West
T1007,2023-01-21,Port Harcourt,PO001,In-store,P2612,Sports,Tennis Racket,Adidas,52806.91897497522,66885.48023894733,3,200656.44071684201,158420.75692492566,42235.68379191635,1,Cash,8:41:34,C6696,Chioma Okafor,M,30.0,Single,Lawyer,Medium,VIP,67.0,27,35,MegaMart Supply,7,None,MegaSaver,704740,Yes,Email,January,2023,Q1,Saturday,True,True,3.8,696.78,South-South
T1008,2024-09-06,Enugu,EN009,Online,P7930,Fashion,Dress,Adidas,131918.35477773735,176723.25084336955,16,2827572.0134939128,2110693.6764437975,716878.3370501152,1,Cash,16:05:54,C8073,Sarah James,F,31.0,Single,Lawyer,Low,Occasional,60.0,115,34,GameHub Africa,7,Flash Sale,MegaSaver,325710,Yes,Radio,September,2024,Q3,Friday,True,True,3.8,1656.82,South-East
T1009,2023-05-02,Kano,KA006,Online,P4346,Toys,Toy Car,Lego,84181.99535394413,101878.21338362516,3,305634.6401508755,252545.9860618324,53088.65408904309,0,POS,16:16:08,C4010,John Eze,M,60.0,Married,Designer,Medium,VIP,40.0,198,34,MegaMart Supply,14,Loyalty Offer,SummerBlast,659469,No,Radio,May,2023,Q2,Tuesday,True,False,4.9,2716.08,North-West
T1010,2024-04-11,Lagos,LA005,In-store,P3546,Groceries,Pasta,Indomie,5225.656107599109,6196.542853403881,17,105341.22850786598,88836.15382918486,16505.07467868112,1,Cash,8:21:49,C4716,Grace James,F,31.0,Married,Lawyer,Medium,Regular,97.0,86,70,FashionBase Ltd,7,None,CustomerLove,939945,No,Radio,April,2024,Q2,Thursday,True,True,3.2,11579.4,South-West
T1011,2023-08-03,Ibadan,IB007,Online,P3426,Groceries,Beverage,Golden Penny,22441.062448078574,27460.012016885088,17,466820.2042870465,381498.06161733577,85322.14266971074,1,POS,21:10:51,C2188,Victor Ibrahim,F,20.0,Married,Trader,High,VIP,82.0,110,56,TechWorld Nigeria,7,Loyalty Offer,MegaSaver,902448,Yes,SMS,August,2023,Q3,Thursday,True,True,3.8,2308.6,South-West
T1012,2023-11-27,Lagos,LA005,Online,P6728,Sports,Basketball,Adidas,79491.1225081246,95325.77331636514,22,2097167.012960033,1748804.6951787411,348362.3177812919,1,Cash,9:56:16,C3828,Aisha Agina,M,38.79889042995839,Married,Banker,Low,Regular,62.0,111,67,FashionBase Ltd,7,Discount,CustomerLove,655673,No,SMS,November,2023,Q4,Monday,False,True,3.8,12923.64,South-West
T1013,2024-04-03,Kano,KA009,Online,P1027,Groceries,Flour,Nestle,41877.52648279235,47962.4353465787,12,575549.2241589443,502530.31779350823,73018.9063654361,1,Online,19:18:35,C8921,Aisha Adeniyi,F,22.0,Married,Student,High,VIP,86.0,85,42,FoodPro Distributors,30,None,WeekendRush,984475,Yes,Radio,April,2024,Q2,Wednesday,False,False,4.1,14707.84,North-West
